Date,SMA_Diff,SP_Diff,Mov
31/12/2012,0.430340043,36.23010254,U
2/1/2013,0.411580053,-3.050048828,D
3/1/2013,0.393360038,7.099975586,D
4/1/2013,0.373620033,-4.579956055,D
7/1/2013,0.352060028,-4.739990234,D
8/1/2013,0.326000023,3.869995117,D
9/1/2013,0.291820031,11.09997559,D
10/1/2013,0.250280017,-0.069946289,D
11/1/2013,0.204660005,-1.369995117,U
14/1/2013,0.180639997,1.659912109,U
15/1/2013,0.162939997,0.290039063,U
16/1/2013,0.139219995,8.309936523,U
17/1/2013,0.125599985,5.040039063,U
18/1/2013,0.111219983,6.580078125,U
22/1/2013,0.10421998,2.25,U
23/1/2013,0.105459967,0.009887695,U
24/1/2013,0.105879965,8.140014648,D
25/1/2013,0.11613997,-2.779907227,U
28/1/2013,0.133859973,7.659912109,D
29/1/2013,0.154879975,-5.880004883,D
30/1/2013,0.164579973,-3.849975586,D
31/1/2013,0.163399969,15.06005859,U
1/2/2013,0.177179966,-17.46008301,D
4/2/2013,0.191619954,15.58007813,U
5/2/2013,0.206879949,0.829956055,U
6/2/2013,0.233619953,-2.729980469,U
7/2/2013,0.263179941,8.540039063,D
8/2/2013,0.291919947,-0.920043945,D
11/2/2013,0.326259957,2.420043945,D
12/2/2013,0.355759959,0.899902344,U
13/2/2013,0.382739949,1.050048828,D
14/2/2013,0.409839931,-1.58996582,D
15/2/2013,0.423879938,11.14990234,U
19/2/2013,0.449199948,-18.98999023,D
20/2/2013,0.464139953,-9.529907227,D
21/2/2013,0.451779966,13.17993164,U
22/2/2013,0.436819982,-27.75,D
25/2/2013,0.414419989,9.08996582,U
26/2/2013,0.381739998,19.05004883,U
27/2/2013,0.347279992,-1.309936523,D
28/2/2013,0.316299987,3.519897461,D
1/3/2013,0.286699992,7,U
4/3/2013,0.255540009,14.59008789,U
5/3/2013,0.236480012,1.669921875,U
6/3/2013,0.219040022,2.800048828,U
7/3/2013,0.192720017,6.920043945,U
8/3/2013,0.165860014,5.039916992,U
11/3/2013,0.142420015,-3.739990234,U
12/3/2013,0.127700009,2.040039063,D
13/3/2013,0.115560007,8.709960938,D
14/3/2013,0.087640005,-2.530029297,D
15/3/2013,0.058120017,-8.599975586,D
18/3/2013,0.037700024,-3.760009766,D
19/3/2013,-0.007019978,10.36999512,U
20/3/2013,-0.039359984,-12.90991211,U
21/3/2013,-0.040179983,11.08996582,U
22/3/2013,-0.046999989,-5.200073242,U
25/3/2013,-0.031499987,12.08007813,U
26/3/2013,-0.016999998,-0.920043945,U
27/3/2013,-0.005999999,6.33996582,D
28/3/2013,0.008640004,-7.019897461,U
1/4/2013,0.062120023,8.079956055,U
2/4/2013,0.109880013,-16.56005859,D
3/4/2013,0.128060022,6.290039063,U
4/4/2013,0.143980031,-6.699951172,D
5/4/2013,0.153900037,9.789916992,U
8/4/2013,0.168140049,5.540039063,D
9/4/2013,0.16806005,19.11999512,U
10/4/2013,0.180140047,5.640014648,U
11/4/2013,0.203680062,-4.520019531,U
12/4/2013,0.247760072,-36.48999023,D
15/4/2013,0.30470006,22.20996094,U
16/4/2013,0.379940048,-22.55993652,D
17/4/2013,0.45280006,-10.40002441,U
18/4/2013,0.527640056,13.64001465,U
19/4/2013,0.611200052,7.25,U
22/4/2013,0.704060059,16.2800293,U
23/4/2013,0.791780047,0.010009766,D
24/4/2013,0.86944006,6.369995117,U
25/4/2013,0.951400051,-2.920043945,D
26/4/2013,1.033500042,11.36999512,U
29/4/2013,1.076920023,3.959960938,D
30/4/2013,1.105620032,-14.86999512,D
1/5/2013,1.171420021,14.89001465,U
2/5/2013,1.230139989,16.83007813,U
3/5/2013,1.284379978,3.079956055,U
6/5/2013,1.367519961,8.459960938,D
7/5/2013,1.433099947,6.729980469,U
8/5/2013,1.486959967,-6.019897461,U
9/5/2013,1.607859944,7.029907227,U
10/5/2013,1.770239951,0.070068359,U
13/5/2013,2.002639938,16.56994629,D
14/5/2013,2.188499968,8.440063477,U
15/5/2013,2.389639968,-8.310058594,U
16/5/2013,2.624199995,17,D
17/5/2013,2.847819968,-1.179931641,D
20/5/2013,3.03943999,2.869995117,D
21/5/2013,3.21128,-13.81005859,D
